Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-34.841507	2.3643558	-4.6022477	-41.15438	25.898964	0.0007000467	0.38616177	1.7892846	-1.7668414	10000	2.0751953e-07	390.3622	-0.01535621	-234.06178	4.577005	0.015178539	0.0858	50.0	8.593417882919312
1	-34.49072	1.4748753	-30.454706	-38.722706	25.997396	-9.059545	1.089192	4.9144998	-11.397397	20000	3.0517577e-09	151.571	-0.016500333	-74.78676	4.525381	0.0151879685	0.0731	45.0	14.83284068107605
2	-33.56158	2.9524379	-3.9634743	-38.62134	25.816538	-17.048151	0.52302134	-8.692047	-17.351921	30000	-7.629395e-09	74.1506	-0.01668979	-1.7875214	4.475044	0.01489407	0.0813	79.0	21.299602031707764
3	-33.200745	2.7508647	-8.0773325	-39.18676	25.819122	-17.13102	0.25124097	-8.643084	-17.421349	40000	-8.392334e-09	70.64154	-0.014509513	-0.63201904	4.4032288	0.015053601	0.0719	64.0	27.445996522903442
4	-33.054688	1.8074957	-22.35458	-38.22891	25.955845	-16.919546	0.13189131	-15.023323	-17.35103	50000	1.525879e-08	68.791916	-0.01456738	-0.207695	4.426399	0.015109668	0.0869	41.0	33.67615270614624
5	-32.57467	2.195639	-11.2357	-38.04568	25.927273	-16.745214	0.11528571	-15.521073	-17.42299	60000	1.5258789e-09	67.113464	-0.014190166	-0.14369965	4.384262	0.015335226	0.0801	58.0	41.809314489364624
6	-31.958042	2.9220872	-4.2672668	-35.946312	25.773195	-16.543644	0.09039778	-14.9312725	-17.053787	70000	6.866455e-09	65.15881	-0.015295417	-0.15465546	4.3208213	0.0151723735	0.0793	51.0	49.69886040687561
7	-31.489397	2.7989237	-4.134991	-36.458668	25.83721	-16.228672	0.14283063	-14.972197	-16.968906	80000	-3.7193297e-09	62.945183	-0.014964578	-0.076690674	4.278706	0.015094217	0.0787	60.0	57.74549055099487
8	-31.032528	2.4516253	-3.0173297	-35.23255	25.875648	-16.051712	0.13888732	-15.263896	-16.57949	90000	0.0	60.824368	-0.014520318	-0.0873909	4.226188	0.015128961	0.0733	71.0	65.93090534210205
9	-30.646116	3.0030723	-0.20661423	-34.75808	25.73969	-15.793328	0.12980713	-14.806892	-16.34974	100000	-6.1035155e-09	59.969727	-0.015229818	-0.116752625	4.1891055	0.015448572	0.0947	48.0	73.84174418449402
10	-30.31457	2.739906	-1.9583983	-35.14299	25.801033	-15.566027	0.2262462	-14.531973	-16.307756	110000	2.8038025e-08	58.52694	-0.015058777	-0.07122803	4.166754	0.015033445	0.0807	49.0	103.82492256164551
11	-30.093927	2.0194638	-9.519552	-36.556847	25.92987	-15.424256	0.29967353	-13.9832535	-16.314611	120000	-8.392334e-09	56.83162	-0.014296124	-0.1169014	4.1198225	0.015197078	0.0789	54.0	111.87292885780334
12	-29.441563	2.619239	-9.208603	-34.86866	25.773195	-15.21498	0.32288426	-13.516131	-16.335213	130000	-1.1444092e-09	54.86936	-0.014558149	-0.11474991	4.042501	0.0152025465	0.0739	64.0	120.037344455719
13	-28.975666	3.165011	-3.906509	-33.76538	25.620512	-14.966799	0.36794478	-13.786027	-15.914375	140000	-5.722046e-09	53.8489	-0.01291781	-0.08333206	4.04635	0.0153787965	0.074	41.0	128.0430724620819
14	-28.868103	1.873302	-9.851599	-33.364567	25.937662	-14.777303	0.39999646	-13.425835	-16.034487	150000	8.010864e-09	51.763203	-0.013624362	-0.106472015	3.982078	0.0152086895	0.0742	49.0	135.97936630249023
15	-28.426418	3.102065	-2.000705	-32.921646	25.681234	-14.61295	0.43311095	-12.054505	-16.068462	160000	1.2207031e-08	51.449455	-0.014353386	-0.13057709	3.950979	0.01534504	0.0791	53.0	144.05106472969055
16	-28.037258	2.3233407	-8.0139475	-33.708134	25.813953	-14.438039	0.52818954	-12.6899395	-15.794162	170000	-2.1362304e-08	49.161694	-0.012176596	-0.10020447	3.9150922	0.015243805	0.0627	45.0	151.92027378082275
17	-27.546392	3.8920825	-0.20891142	-32.959743	25.389313	-14.22516	0.5720975	-10.357316	-15.84651	180000	-1.2969971e-08	49.603474	-0.01218227	-0.13085175	3.9024942	0.01587558	0.0938	21.0	159.691965341568
18	-27.163256	3.1404788	-2.0267923	-32.35941	25.576923	-14.088334	0.6913305	-9.760728	-16.30913	190000	3.4332275e-09	47.270905	-0.014031292	-0.12884903	3.845088	0.015637562	0.0931	42.0	167.58853459358215
19	-26.96225	2.4945428	-0.9147429	-30.850931	25.788115	-13.816144	0.71968746	-11.897055	-16.013788	200000	1.5163423e-08	45.760555	-0.014733525	-0.108478546	3.8273993	0.015039154	0.0842	67.0	215.94087505340576
